date;amount;category;subcategory;payment_method;expense_type;notes
01/01/2024;92.5;Deporte;;Transferencia;Variable;
01/01/2024;12;Cuidado personal;;Transferencia;Variable;
01/01/2024;125.5;Comida;;Transferencia;Fijo;
01/01/2024;97.5;Regalo;;Transferencia;Variable;
01/01/2024;139.98;Gastos piso;;Transferencia;Fijo;
01/01/2024;14;Electrónica;;Transferencia;Variable;
01/01/2024;36.2;Ocio;;Transferencia;Variable;
01/01/2024;8;Transporte;;Transferencia;Variable;
01/01/2024;358.33;Alquiler;;Transferencia;Fijo;
01/02/2024;102.5;Deporte;;Transferencia;Variable;
01/02/2024;17;Cuidado personal;;Transferencia;Variable;
01/02/2024;102.5;Comida;;Transferencia;Fijo;
01/02/2024;160.1;Ocio;;Transferencia;Variable;
01/02/2024;140;Regalo;;Transferencia;Variable;
01/02/2024;65;Electrónica;;Transferencia;Variable;
01/02/2024;77.95;Ropa;;Transferencia;Variable;
01/02/2024;47.2;Gastos piso;;Transferencia;Fijo;
01/02/2024;8;Transporte;;Transferencia;Variable;
01/02/2024;358.33;Alquiler;;Transferencia;Fijo;
01/03/2024;110.6;Deporte;;Transferencia;Variable;
01/03/2024;40.7;Cuidado personal;;Transferencia;Variable;
01/03/2024;109.57;Comida;;Transferencia;Fijo;
01/03/2024;135.57;Ocio;;Transferencia;Variable;
01/03/2024;7;Regalo;;Transferencia;Variable;
01/03/2024;80;Electrónica;;Transferencia;Variable;
01/03/2024;57.97;Gastos piso;;Transferencia;Fijo;
01/03/2024;8;Transporte;;Transferencia;Variable;
01/03/2024;358.33;Alquiler;;Transferencia;Fijo;
01/04/2024;146;Deporte;;Transferencia;Variable;
01/04/2024;12;Cuidado personal;;Transferencia;Variable;
01/04/2024;70.5;Comida;;Transferencia;Fijo;
01/04/2024;78;Ocio;;Transferencia;Variable;
01/04/2024;20;Regalo;;Transferencia;Variable;
01/04/2024;46;Electrónica;;Transferencia;Variable;
01/04/2024;90.28;Gastos piso;;Transferencia;Fijo;
01/04/2024;8;Transporte;;Transferencia;Variable;
01/04/2024;358.33;Alquiler;;Transferencia;Fijo;
01/05/2024;120.5;Deporte;;Transferencia;Variable;
01/05/2024;12;Cuidado personal;;Transferencia;Variable;
01/05/2024;110.85;Comida;;Transferencia;Fijo;
01/05/2024;53;Ocio;;Transferencia;Variable;
01/05/2024;138;Regalo;;Transferencia;Variable;
01/05/2024;154;Electrónica;;Transferencia;Variable;
01/05/2024;27.87;Gastos piso;;Transferencia;Fijo;
01/05/2024;7;Hogar;;Transferencia;Fijo;
01/05/2024;252.97;Ropa;;Transferencia;Variable;
01/05/2024;358.33;Alquiler;;Transferencia;Fijo;
01/06/2024;72.5;Deporte;;Transferencia;Variable;
01/06/2024;17;Cuidado personal;;Transferencia;Variable;
01/06/2024;96.91;Comida;;Transferencia;Fijo;
01/06/2024;170.87;Ocio;;Transferencia;Variable;
01/06/2024;45;Regalo;;Transferencia;Variable;
01/06/2024;135;Electrónica;;Transferencia;Variable;
01/06/2024;53.07;Gastos piso;;Transferencia;Fijo;
01/06/2024;8;Transporte;;Transferencia;Variable;
01/06/2024;97.5;Hogar;;Transferencia;Fijo;
01/06/2024;89.9;Ropa;;Transferencia;Variable;
01/06/2024;358.33;Alquiler;;Transferencia;Fijo;
01/07/2024;70.9;Deporte;;Transferencia;Variable;
01/07/2024;34;Cuidado personal;;Transferencia;Variable;
01/07/2024;38.23;Comida;;Transferencia;Fijo;
01/07/2024;702.06;Ocio;;Transferencia;Variable;
01/07/2024;3.35;Regalo;;Transferencia;Variable;
01/07/2024;26.15;Electrónica;;Transferencia;Variable;
01/07/2024;87.8;Electrónica;;Transferencia;Fijo;
01/07/2024;29.19;Gastos piso;;Transferencia;Fijo;
01/07/2024;8;Transporte;;Transferencia;Variable;
01/07/2024;358.33;Alquiler;;Transferencia;Fijo;
01/08/2024;82.9;Deporte;;Transferencia;Variable;
01/08/2024;12;Cuidado personal;;Transferencia;Variable;
01/08/2024;51.5;Comida;;Transferencia;Fijo;
01/08/2024;51.55;Ocio;;Transferencia;Variable;
01/08/2024;5;Regalo;;Transferencia;Variable;
01/08/2024;77.79;Electrónica;;Transferencia;Variable;
01/08/2024;11;Electrónica;;Transferencia;Fijo;
01/08/2024;81.94;Gastos piso;;Transferencia;Fijo;
01/08/2024;8;Transporte;;Transferencia;Variable;
01/08/2024;358.33;Alquiler;;Transferencia;Fijo;
01/09/2024;92.9;Deporte;;Transferencia;Variable;
01/09/2024;12;Cuidado personal;;Transferencia;Variable;
01/09/2024;50;Comida;;Transferencia;Fijo;
01/09/2024;900;Ocio;;Transferencia;Variable;
01/09/2024;5;Regalo;;Transferencia;Variable;
01/09/2024;23;Electrónica;;Transferencia;Variable;
01/09/2024;2.83;Electrónica;;Transferencia;Fijo;
01/09/2024;57.97;Gastos piso;;Transferencia;Fijo;
01/09/2024;8;Transporte;;Transferencia;Variable;
01/09/2024;358.33;Alquiler;;Transferencia;Fijo;
01/10/2024;40.9;Deporte;;Transferencia;Variable;
01/10/2024;12;Cuidado personal;;Transferencia;Variable;
01/10/2024;50;Comida;;Transferencia;Fijo;
01/10/2024;120;Ocio;;Transferencia;Variable;
01/10/2024;0;Regalo;;Transferencia;Variable;
01/10/2024;23;Electrónica;;Transferencia;Variable;
